titulo,vinculo,resumen 
b'[HTML][HTML] No physical health without mental health: lessons unlearned?',b'https://www.scielosp.org/article/bwho/2013.v91n1/3-3a/en/',"b'4. Gonzalez JS, Safren SA, Delahanty LM, Cagliero E, Wexler DJ, Meigs JB et al. Symptoms of depression prospectively predict poorer self-care in patients with Type 2 diabetes. Diabet Med 2008; 25: 1102\xe2\x80\x937. doi: 10.1111/j. 1464-5491.2008. 02535. x PMID: 19183315 5\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] The WHO World Mental Health Surveys: global perspectives on the epidemiology of mental disorders',b'https://www.researchgate.net/profile/Musa-Wakil/publication/249643298_The_WHO_World_Mental_Health_Surveys_Global_Perspectives_on_the_Epidemiology_of_Mental_Disorders_Edited_by_Ronald_C_Kessler_and_T_Bedirhan_Ustun_WHO_Regional_Office_for_Africa_AFRO_Chapter10_Mental_Dis/links/541ef9030cf203f155c249e2/The-WHO-World-Mental-Health-Surveys-Global-Perspectives-on-the-Epidemiology-of-Mental-Disorders-Edited-by-Ronald-C-Kessler-and-T-Bedirhan-Ustun-WHO-Regional-Office-for-Africa-AFRO-Chapter10-Mental-Dis.pdf',"b'Every effort has been made in preparing this publication to provide accurate and up-to-date information that is in accord with accepted standards and practice at the time of publication. Nevertheless, the authors, editors, and publisher can make no warranties that the\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Mental health law: policy and practice',b'https://books.google.com/books?hl=es&lr=&id=HJJGJfm9o0oC&oi=fnd&pg=PR7&dq=mental+health%0A&ots=UHdt3MKkZM&sig=SEHl6tCq0J6ri1Dqh1N-jcVNP_k',"b""Written by two of the country's leading specialists in mental health law, this book provides a detailed overview of the law and the socio-legal, historical, sociological, and cultural issues that surround it. Mental health law, at its heart, involves the forcible confinement and\xc2\xa0\xe2\x80\xa6"""
b'Time trends in adolescent mental health',b'https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-7610.2004.00335.x',"b'Background: Existing evidence points to a substantial rise in psychosocial disorders affecting young people over the past 50 years (Rutter & Smith, 1995). However, there are major methodological challenges in providing conclusive answers about secular changes in\xc2\xa0\xe2\x80\xa6'"
b'Poverty and adolescent mental health',b'https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1744-6171.2008.00166.x',"b'PROBLEM: Poverty and accelerations of inequality, manifested by the increasing difference between the richest and poorest populations, have significant effects on the mental health of vulnerable groups. Adolescents are vulnerable to the effects of poverty. As a time of change\xc2\xa0\xe2\x80\xa6'"
b'Consumer satisfaction with mental health treatment.',b'https://psycnet.apa.org/record/1982-12794-001',"b'Reviews literature on the evaluation of consumer satisfaction with mental health treatment. The methods of assessing consumer satisfaction, methodological issues in studies assessing satisfaction, results of the studies, and the value of consumer evaluation are\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] The treatment gap in mental health care',b'https://www.scielosp.org/article/bwho/2004.v82n11/858-866/en/',"b'Mental disorders are highly prevalent and cause considerable suffering and disease burden. To compound this public health problem, many individuals with psychiatric disorders remain untreated although effective treatments exist. We examine the extent of this\xc2\xa0\xe2\x80\xa6'"
b'Types of mental health consultation.',b'https://psycnet.apa.org/record/2013-39667-009',"b'Mental health consultation is defined and differentiated from other forms of professional activity in the community mental health field. The four main types of mental health consultation are discussed and one,\xe2\x80\x9cconsultee-centered case consultation,\xe2\x80\x9d is described in\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Aging and mental health',b'https://books.google.com/books?hl=es&lr=&id=1xg-DwAAQBAJ&oi=fnd&pg=PP11&dq=mental+health%0A&ots=LaRX9aMUU2&sig=LWcamaygkKQiu0uolGLDhijaV1Y',"b'Fully updated and revised, this new edition of a highly successful text provides students, clinicians, and academics with a thorough introduction to aging and mental health. The third edition of Aging and Mental Health is filled with new updates and features, including the\xc2\xa0\xe2\x80\xa6'"
b'Social networks and mental health: an overview.',b'https://psycnet.apa.org/record/1982-30887-001',"b'Research has shown that social networks can act as social support systems to promote mental health and buffer psychological stress. This review examines patterns and characteristics of social networks that maintain health and help prevent illness, explores the\xc2\xa0\xe2\x80\xa6'"
b'Deinstitutionalization and mental health services',b'https://www.jstor.org/stable/24955635',"b'Fifteen years ago the us undertook a massive reform in the delivery of mental health services under the banner of"" community mental health."" A major objective. urged by a spirit of reform and presumed to be brought within reach by the availability of new psychoactive\xc2\xa0\xe2\x80\xa6'"
b'Mental health of young people: a global public-health challenge',b'https://www.sangath.in/wp-content/uploads/2015/08/Mental-health-of-young-people....pdf',"b'Mental disorders account for a large proportion of the disease burden in young people in all societies. Most mental disorders begin during youth (12\xe2\x80\x9324 years of age), although they are often first detected later in life. Poor mental health is strongly related to other health and\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Social capital and mental health',b'https://books.google.com/books?hl=es&lr=&id=tukPBQAAQBAJ&oi=fnd&pg=PA6&dq=mental+health%0A&ots=MWhh4QhaLw&sig=GpDwF28du1s9O1laA_8AwI1lpZs',"b'The effects of social context and social structure on health are well documented. The concept of social capital provides a slightly different take on the issue, as it attempts to discover the features of populations in different areas that are crucial in determining the\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] Mental health and the global agenda',b'https://www.nejm.org/doi/full/10.1056/nejmra1110827',b'This article reviews the impact of mental health on overall health on a global level. The authors suggest changes that could lead to improved identification and treatment of mental illness in countries with limited resources.'
b'[PDF][PDF] The mental health of Australians 2',b'https://www.researchgate.net/profile/Timothy_Slade/publication/236611613_The_Mental_Health_of_Australians_2_Report_on_the_2007_National_Survey_of_Mental_Health_and_Wellbeing/links/00b4952b354217208a000000/The-Mental-Health-of-Australians-2-Report-on-the-2007-National-Survey-of-Mental-Health-and-Wellbeing.pdf',"b'When the first National Survey of Mental Health and Wellbeing was conducted in 1997 there were no data that could be used to estimate the number of people in Australia with mental disorders. There was little idea of the disability associated with mental illness, the services\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Gender and mental health',b'https://books.google.com/books?hl=es&lr=&id=3E5dDwAAQBAJ&oi=fnd&pg=PR9&dq=mental+health%0A&ots=MYxxiAZwVn&sig=oLkX-4VBWEzM2sHStGCfTcfvKZM',"b'Gender & Mental Health is an exciting textbook written from a policy perspective. Based on up-to-date information from Europe and the United States, it focuses not only on the individual experience of mental disorder for both men and women, but also on a range of\xc2\xa0\xe2\x80\xa6'"
"b""Barriers to children's mental health services""",b'https://www.academia.edu/download/49583960/30.pdf',"b""Objective To examine the characteristics associated with barriers to children's mental health services, focusing on the effect of children's psychosocial problems on parents. Method Data come from a first-grade, prevention-intervention project conducted in Baltimore, Maryland\xc2\xa0\xe2\x80\xa6"""
b'[LIBRO][B] Culture and mental health: A Southern African view.',b'https://psycnet.apa.org/record/1999-02493-000',"b'Uses local case studies and international research to guide the reader through the challenges facing mental health workers in diverse but increasingly interconnected world. This book explores the impact of cultural bias, language barriers, and economic disparities\xc2\xa0\xe2\x80\xa6'"
b'Mental disorders among college students in the World Health Organization world mental health surveys',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5129654/',"b'Background Although mental disorders are significant predictors of educational attainment throughout the entire educational career, most research on mental disorders among students has focused on the primary and secondary school years. Method The World Health \xc2\xa0\xe2\x80\xa6'"
b'Stress and mental health: A conceptual overview.',b'https://psycnet.apa.org/record/1999-02431-008',"b'The author begins the chapter by describing the ways in which a sociological approach to stress and mental health is distinct from other perspectives and why an understanding of social stress is central to the etiology of psychological disorder. The"" stress process"" has 3\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Prevention and promotion in mental health',b'https://apps.who.int/iris/bitstream/handle/10665/42539/9241562161.pdf',"b'The World Health Organization (WHO) defines health as \xe2\x80\x9ca state of complete physical, mental and social well-being and not merely the absence of disease or infirmity\xe2\x80\x9d. Thus, in order to attain health, improvement of the mental health of individuals is essential. This is all\xc2\xa0\xe2\x80\xa6'"
b'Mental health in low-and middle-income countries',b'https://academic.oup.com/bmb/article/81-82/1/81/283383',b'Mental disorders in low-and middle-income countries (LAMIC) do not attract global health policy attention. This article is based on a selective review of research on mental disorders in adults in LAMIC since 2001 and recent analyses of disease burden in developing\xc2\xa0\xe2\x80\xa6'
b'Lifestyle and mental health',b'https://www.sciencedirect.com/science/article/pii/S009174350400372X',"b'Study objective To examine the relationship between healthy lifestyles and self-rated mental health. Design A cross-section telephone survey involving multiple callbacks. Using a Behavioral Risk Factor Surveillance Survey, information about lifestyle, demographic\xc2\xa0\xe2\x80\xa6'"
b'Mental health issues for Asian Americans',b'https://ps.psychiatryonline.org/doi/pdf/10.1176/ps.50.6.774',"b'One of fastest-growing population groups in recent decades, Asian Americans represent a vastly diversified and rich mixture of cultures, languages, beliefs, and practices, many of which differ widely from those of European Americans. As immigrants, Asian Americans\xc2\xa0\xe2\x80\xa6'"
b'Improving mental health literacy as a strategy to facilitate early intervention for mental disorders',b'https://www.mja.com.au/system/files/issues/187_07_011007/kel10278_fm.pdf',"b'Good mental health literacy in young people and their key helpers may lead to better outcomes for those with mental disorders, either by facilitating early help\xe2\x80\x90seeking by young people themselves, or by helping adults to identify early signs of mental disorders and seek\xc2\xa0\xe2\x80\xa6'"
b'Ecological constraints on mental health services.',b'https://psycnet.apa.org/record/1966-11366-001',b'Proposes 4 principles for community mental health programing that are consistent with an ecological thesis:(1) Assessment methods are focused on the total population rather than on those persons who presently receive a mental health service.(2) Mental health services are\xc2\xa0\xe2\x80\xa6'
b'The de facto US mental health services system: a public health perspective',b'https://www.researchgate.net/profile/Darrel_Regier/publication/269749423_The_De_Facto_US_Mental_Health_Services_System/links/592ee7f10f7e9beee74b40bc/The-De-Facto-US-Mental-Health-Services-System.pdf',"b""\xe2\x80\xa2 The President's Commission on Mental Health has highlighted a heretofore unmet need for the linkage of data on the prevalence of mental disorder with national data on the use of mental health services. This study analyzes available epidemiological data and recent\xc2\xa0\xe2\x80\xa6"""
b'Putting mental health into mental health law',b'https://link.springer.com/content/pdf/10.1007/BF02351047.pdf',"b'This article critiques the traditional doctrinal approach to mental health law and compares the traditional approach with a new, interdisciplinary approach known as therapeutic jurisprudence. Therapeutic jurisprudence views the law itself as a potential therapeutic\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] Urbanization and mental health',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2996208/',"b'Urbanization, defined as the increase in the number of cities and urban population, is not only a demographic movement but also includes, social, economic and psychological changes that constitute the demographic movement. It is a process that leads to the growth\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] National mental health survey of India 2015\xe2\x80\x932016',b'https://www.ncbi.nlm.nih.gov/pmc/articles/pmc5419008/',b'Media referred to the findings of the report as follows: \xe2\x80\x9cIndia needs to talk about mental \nillness;\xe2\x80\x9d[2] \xe2\x80\x9cEvery sixth Indian needs mental health help;\xe2\x80\x9d[3] \xe2\x80\x9c8% of people in Karnataka have \nmental illness;\xe2\x80\x9d[4] \xe2\x80\x9cMental problems more in 30\xe2\x80\x9349 age group or over 60; low income linked\xc2\xa0\xe2\x80\xa6'
b'The effect of unemployment on mental health',b'http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1062.923&rep=rep1&type=pdf',"b""Sixteen recent longitudinal studies are examined for evidence relevant to the claim that a change to one's employment status affects one's mental health. Although there were limitations to the set of studies examined, most of the studies supported this claimed\xc2\xa0\xe2\x80\xa6"""
b'Evidence for a mental health crisis in graduate education',b'https://psgsc.wisc.edu/wp-content/uploads/sites/205/2018/05/Evans_et_al_2018_mental_health_crisis-1.pdf',"b'There is a growing cry for help from graduate students across the globe who struggle with significant mental health concerns 1. Despite increased discussion of the topic, there remains a dire need to resolve our understanding of the mental health issues in the trainee\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Community mental health: Principles and practice',b'https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.475.207&rep=rep1&type=pdf',"b'Practice, the evolution of the com-munity mental health movement in the United States enters a new developmental stage. Drs. Mosher and Burti challenge current ways of thinking about the practice of community mental health by squarely addressing the failure of most\xc2\xa0\xe2\x80\xa6'"
b'Sexual orientation and mental health',b'https://www.annualreviews.org/doi/abs/10.1146/annurev.clinpsy.3.022806.091510',"b'This article provides an overview of current psychological research on mental health and sexual orientation, as well as clinical practice with sexual minorities. The historical context for current research questions and controversies is described, and the findings of recent\xc2\xa0\xe2\x80\xa6'"
b'Gender disparities in mental health',b'http://eprints.vu.edu.au/1656/',"b'This paper examines current evidence regarding rates, risk factors, correlates and consequences of gender disparities in mental health. Gender is conceptualized as a structural determinant of mental health and mental illness that runs like a fault line\xc2\xa0\xe2\x80\xa6'"
b'Physical activity and public health: mental health',b'https://shapeamerica.tandfonline.com/doi/abs/10.1080/00336297.1995.10484164',"b'In this paper the effects of physical activity on depression and anxiety are examined. The scientific strength of studies of physical activity, depression, and anxiety are examined against the standards of science accepted in epidemiology, with a focus on the\xc2\xa0\xe2\x80\xa6'"
b'Change in level of positive mental health as a predictor of future risk of mental illness',b'https://ajph.aphapublications.org/doi/pdfplus/10.2105/AJPH.2010.192245',"b'Objectives. We sought to describe the prevalence of mental health and illness, the stability of both diagnoses over time, and whether changes in mental health level predicted mental illness in a cohort group. Methods. In 2009, we analyzed data from the 1995 and 2005\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Mental health financing',b'https://apps.who.int/iris/bitstream/handle/10665/333119/9241545933-eng.pdf',"b'Dr. Michelle Funk Mental Health Policy and Service Development Team Department of Mental \nHealth and Substance Dependence Noncommunicable Diseases and Mental Health Cluster \nWorld Health Organization CH-1211, Geneva 27 Switzerland \xe7\x94\xb5\xe8\xaf\x9d\xef\xbc\x9a\xef\xbc\x8b41 22 791 3855 \xe4\xbc\xa0\xe7\x9c\x9f\xef\xbc\x9a\xef\xbc\x8b41\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Dianetics: The modern science of mental health',b'https://ronsorg.ch/wp-content/uploads/2019/02/DMSMH_en.pdf',"b'The creation of Dianetics is a milestone for Man comparable to his discovery of fire and superior to his inventions of the wheel and arch. Dianetics (Gr., dianoua\xe2\x80\x93thought) is the science of mind. Far simpler than physics or chemistry, it compares with them in the\xc2\xa0\xe2\x80\xa6'"
b'Retirement and mental health',b'http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.989.8960&rep=rep1&type=pdf',"b""Objectives: This research examines whether retirement is associated with mental health and how one's daily pursuits mediate this association. It tests two perspectives from the sociology of work and the sociology of mental health. Methods: Using data from two surveys, the 1995\xc2\xa0\xe2\x80\xa6"""
b'Integrating mental health and primary care',b'https://njaap.org/uploadfiles/documents/PCORE/Mental%20Health/Integrating%20Mental%20Health%20and%20primary%20care%20primary%20clinics%20office%20practice%202007.pdf',"b'Mental health and primary care delivery systems have evolved to operate differently. For example, attention to multiple medical issues, health maintenance, and structured diagnostic procedures are standard elements of primary care rarely incorporated into mental health \xc2\xa0\xe2\x80\xa6'"
b'Social inclusion and mental health',b'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/36D14A7DEF64A0CE9F7CFF3728A89DFA/S095560360009588Xa.pdf/social_inclusion_and_mental_health.pdf',"b""The Government's commitment to reducing social exclusion, through concerted action across \ndepartments, has rapidly led to some specific changes in both policy and implementation. For \nexample, in 1999 the Social Exclusion Unit examined the problem of young people who were\xc2\xa0\xe2\x80\xa6"""
b'[HTML][HTML] Grand challenges in global mental health',b'https://www.nature.com/articles/475027a',b'SETTING PRIORITIES The prioritization exercise assembled the largest international Delphi panel so far on the subject. An executive committee of leaders of key funding agencies provided broad oversight. A scientific advisory board comprising leaders in the relevant\xc2\xa0\xe2\x80\xa6'
b'Mental health literacy: empowering the community to take action for better mental health.',b'https://psycnet.apa.org/doiLanding?doi=10.1037/a0025957',"b'For major physical diseases, it is widely accepted that members of the public will benefit by knowing what actions they can take for prevention, early intervention, and treatment. However, this type of public knowledge about mental disorders (mental health literacy) has\xc2\xa0\xe2\x80\xa6'"
b'A public health strategy to improve the mental health of Canadian children',b'https://journals.sagepub.com/doi/pdf/10.1177/070674370505000406',"b'Mental health problems are the leading health problems that Canadian children currently face after infancy. At any given time, 14% of children aged 4 to 17 years (over 800 000 in Canada) experience mental disorders that cause significant distress and impairment at\xc2\xa0\xe2\x80\xa6'"
"b'Mental disorders, health inequalities and ethics: A global perspective'",b'https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2935265/',"b'The global burden of neuropsychiatry diseases and related mental health conditions is enormous, underappreciated and under resourced, particularly in the developing nations. The absence of adequate and quality mental health infrastructure and workforce is\xc2\xa0\xe2\x80\xa6'"
b'Mental health promotion in public health: Perspectives and strategies from positive psychology',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3134513/',"b'Positive psychology is the study of what is \xe2\x80\x9cright\xe2\x80\x9d about people\xe2\x80\x94their positive attributes, psychological assets, and strengths. Its aim is to understand and foster the factors that allow individuals, communities, and societies to thrive. Cross-sectional, experimental, and\xc2\xa0\xe2\x80\xa6'"
b'The WHO world health report 2001 on mental health',b'https://doc.rero.ch/record/293131/files/S1121189X00005546.pdf',b'Scopo-La OMS stima che 450 milioni di persone soffrano di disturbi psichiatrici o neurologici e che fra il 10 e il 20% della popolazione infantile presenti qualche disturbo mentale o comportamentale. I disturbi mentali e neurologici rappresentano il 31% di tutte le disabilita\xc2\xa0\xe2\x80\xa6'
"b""Poverty and women's mental health.""","b""https://www.researchgate.net/profile/Deborah_Belle/publication/247404527_Poverty_and_Women's_Mental_Health/links/56e72a7708ae438aab880554.pdf""",b'The positive association between poverty and mental health problems is one of the most well established in all of psychiatric epidemiology. Research has documented consistently that low income and low socioeconomic status are associated with high rates of mental \xc2\xa0\xe2\x80\xa6'
b'[LIBRO][B] Mental health promotion: Paradigms and practice',b'https://www.taylorfrancis.com/books/mono/10.4324/9781315812670/mental-health-promotion-keith-tudor',"b'Mental health promotion is an emerging field of interest to many health professionals. This book traces its history, defines it and distinguishes it from mental illness prevention. Mental health is viewed as a positive concept and seperate from mental illness and\xc2\xa0\xe2\x80\xa6'"
b'Social determinants of mental health',b'https://conservancy.umn.edu/bitstream/handle/11299/213559/poverty-mental-health-article-list.pdf?sequence=1&isAllowed=y',"b""A person's mental health and many common mental disorders are shaped by various social, economic, and physical environments operating at different stages of life. Risk factors for many common mental disorders are heavily associated with social inequalities, whereby the\xc2\xa0\xe2\x80\xa6"""
b'A conceptual framework for the study of work and mental health',b'https://www.tandfonline.com/doi/abs/10.1080/02678379408259982',"b'The key features which influence mental health both in jobs and unemployment are brought together within a single perspective. Three principal axes of affective well-being are identified as warranting investigation, and it is suggested that nine environmental features\xc2\xa0\xe2\x80\xa6'"
b'Domestic violence and mental health',b'https://www.researchgate.net/profile/Roxane_Agnew-Davies/publication/47675087_Domestic_violence_and_mental_health/links/553b7a280cf245bdd7649a6c.pdf',"b'There are clear gender differences in the experience of domestic violence and associated mental health outcomes. There is also increasing evidence of chronic, severe and often long-term adverse mental health effects for victims. This paper explores these gender differences\xc2\xa0\xe2\x80\xa6'"
b'The relationships between religion and mental health',b'https://www.academia.edu/download/51314856/j.1540-4560.1995.tb01322.x20170112-19688-yelzij.pdf',"b'This article reviews the relationships between the means, end, and quest religious orientations as measures of religion (Batson & Ventis, 1982) and measures of mental health. Mental health is defined by seven criteria gleaned from the previous literature:(a) absence of\xc2\xa0\xe2\x80\xa6'"
b'Community mental health team management in severe mental illness: a systematic review',b'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/3495689C90F0970C598D1B67A425D621/S0007125000156776a.pdf/community_mental_health_team_management_in_severe_mental_illness_a_systematic_review.pdf',b'Background Community mental health teams are now generally recommended for the management of severe mental illness but a comparative evaluation of their effectiveness is lacking. Aims To assess the benefits of community mental health team management in\xc2\xa0\xe2\x80\xa6'
b'[PDF][PDF] A call to action on adolescent mental health',b'https://repository.upenn.edu/cgi/viewcontent.cgi?article=1734&context=asc_papers',"b""In this final chapter, we summarize important policy implications of the commission reports and highlight steps they suggest to advance the healthy development of America's youth. The reports provide a hopeful assessment of our ability to treat the most prevalent\xc2\xa0\xe2\x80\xa6"""
b'[PDF][PDF] [\xe2\x80\x8e Improving health systems and services for mental health: mental health policy and service guidance package]\xe2\x80\x8e',b'https://apps.who.int/iris/bitstream/handle/10665/339743/WHO-EURO-2021-34580-34580-57140-ukr.pdf',"b'\xd0\x97\xd0\xb3\xd1\x96\xd0\xb4\xd0\xbd\xd0\xbe \xd0\xb7 \xd1\x83\xd0\xbc\xd0\xbe\xd0\xb2\xd0\xb0\xd0\xbc\xd0\xb8 \xd1\x86\xd1\x96\xd1\x94\xd1\x97 \xd0\xbb\xd1\x96\xd1\x86\xd0\xb5\xd0\xbd\xd0\xb7\xd1\x96\xd1\x97 \xd0\xbc\xd0\xbe\xd0\xb6\xd0\xbd\xd0\xb0 \xd0\xba\xd0\xbe\xd0\xbf\xd1\x96\xd1\x8e\xd0\xb2\xd0\xb0\xd1\x82\xd0\xb8, \xd1\x80\xd0\xbe\xd0\xb7\xd0\xbf\xd0\xbe\xd0\xb2\xd1\x81\xd1\x8e\xd0\xb4\xd0\xb6\xd1\x83\xd0\xb2\xd0\xb0\xd1\x82\xd0\xb8 \xd1\x82\xd0\xb0 \xd0\xb0\xd0\xb4\xd0\xb0\xd0\xbf\xd1\x82\xd1\x83\xd0\xb2\xd0\xb0\xd1\x82\xd0\xb8 \xd1\x80\xd0\xbe\xd0\xb1\xd0\xbe\xd1\x82\xd1\x83 \xd0\xb4\xd0\xbb\xd1\x8f \xd0\xbd\xd0\xb5\xd0\xba\xd0\xbe\xd0\xbc\xd0\xb5\xd1\x80\xd1\x86\xd1\x96\xd0\xb9\xd0\xbd\xd0\xb8\xd1\x85 \xd1\x86\xd1\x96\xd0\xbb\xd0\xb5\xd0\xb9 \xd0\xb7\xd0\xb0 \xd1\x83\xd0\xbc\xd0\xbe\xd0\xb2\xd0\xb8 \xd0\xb2\xd1\x96\xd0\xb4\xd0\xbf\xd0\xbe\xd0\xb2\xd1\x96\xd0\xb4\xd0\xbd\xd0\xbe\xd0\xb3\xd0\xbe \xd1\x86\xd0\xb8\xd1\x82\xd1\x83\xd0\xb2\xd0\xb0\xd0\xbd\xd0\xbd\xd1\x8f, \xd1\x8f\xd0\xba \xd0\xb7\xd0\xb0\xd0\xb7\xd0\xbd\xd0\xb0\xd1\x87\xd0\xb5\xd0\xbd\xd0\xbe \xd0\xbd\xd0\xb8\xd0\xb6\xd1\x87\xd0\xb5. \xd0\xa3 \xd0\xb2\xd0\xb8\xd0\xbf\xd0\xb0\xd0\xb4\xd0\xba\xd1\x83 \xd0\xb1\xd1\x83\xd0\xb4\xd1\x8c-\xd1\x8f\xd0\xba\xd0\xbe\xd0\xb3\xd0\xbe \xd0\xb2\xd0\xb8\xd0\xba\xd0\xbe\xd1\x80\xd0\xb8\xd1\x81\xd1\x82\xd0\xb0\xd0\xbd\xd0\xbd\xd1\x8f \xd1\x86\xd1\x96\xd1\x94\xd1\x97 \xd1\x80\xd0\xbe\xd0\xb1\xd0\xbe\xd1\x82\xd0\xb8 \xd0\xbd\xd0\xb5 \xd0\xbf\xd0\xbe\xd0\xb2\xd0\xb8\xd0\xbd\xd0\xbd\xd0\xbe \xd0\xb1\xd1\x83\xd1\x82\xd0\xb8 \xd0\xbf\xd1\x80\xd0\xb8\xd0\xbf\xd1\x83\xd1\x89\xd0\xb5\xd0\xbd\xd1\x8c, \xd1\x89\xd0\xbe \xd0\x92\xd0\x9e\xd0\x9e\xd0\x97\xc2\xa0\xe2\x80\xa6'"
b'Utilization of health and mental health services: Three Epidemiologic Catchment Area sites',b'https://jamanetwork.com/journals/jamapsychiatry/article-abstract/493436',"b'\xe2\x80\xa2 Utilization of health and mental health services by noninstitutionalized persons aged 18 years and older is examined based on interviews with probability samples of 3,000 to 3,500 persons In each of three sites of the National Institute of Mental Health Epidemiologic\xc2\xa0\xe2\x80\xa6'"
b'Patients with mental health disorders in the COVID-19 epidemic.',b'https://psycnet.apa.org/record/2020-22291-029',"b'The COVID-19 epidemic has caused a parallel epidemic of fear, anxiety, and depression. People with mental health conditions could be more substantially influenced by the emotional responses brought on by the COVID-19 epidemic. Additionally mental health \xc2\xa0\xe2\x80\xa6'"
b'Internet-based mental health interventions',b'https://www.researchgate.net/profile/Michele_Ybarra/publication/7769801_Internet-Based_Mental_Health_Interventions/links/0c960534996af97853000000.pdf',"b'Following recent reviews of community and practice-based mental health interventions, an assessment of Internet-based interventions is provided. Although relatively new, many Internet mental health interventions have reported early results that are promising. Both\xc2\xa0\xe2\x80\xa6'"
"b'Parental depression, child mental health problems, and health care utilization'",b'https://www.jstor.org/stable/3768005',b'Background. Small controlled studies suggest that depression and other mental health problems are more common in children of parents with depression than in children of parents without depression. Objectives. This article examines relationships between\xc2\xa0\xe2\x80\xa6'
b'[LIBRO][B] The sociology of mental disorders',b'https://pdfs.semanticscholar.org/ec51/a0c0dd9805505cfb3bc870f9a074d728677c.pdf',b'\xe2\x80\xa6 A growing area in sociology investigates the social causes and consequences of\nmental health and illness\xc2\xa0\xe2\x80\xa6 Description. For undergraduate courses in Mental Illness\nand Mental Health in departments of Sociology or Social Work\xc2\xa0\xe2\x80\xa6 \n'
b'Physical activity and mental health',b'https://link.springer.com/article/10.2165/00007256-200029030-00003',"b'Physical activity may play an important role in the management of mild-to-moderate mental health diseases, especially depression and anxiety. Although people with depression tend to be less physically active than non-depressed individuals, increased aerobic exercise or\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Rating scales in mental health',b'https://books.google.com/books?hl=es&lr=&id=Ju5vynOinhQC&oi=fnd&pg=PP1&dq=mental+health%0A&ots=ms2Fm7QFHR&sig=rsVcw2SHetr96QKWJDRdzrqmAhI',"b'Rating Scales in Mental Health is ideal for mental health clinicians and researchers who use psychometric instruments in their practice. The updated edition of this highly regarded compendium describes and analyzes 116 scales arranged in 20 categories, including\xc2\xa0\xe2\x80\xa6'"
b'[PDF][PDF] Social determinants of mental health',b'https://apps.who.int/iris/bitstream/handle/10665/112828/9789241506809-chi.pdf',"b'Mental health and many common mental disorders are shaped to a great extent by the social, economic, and physical enviro nments in which people live.\xe2\x80\xa2 Social inequalities are associated with increased risk of many common mental disorders.\xe2\x80\xa2 Taking action to improve\xc2\xa0\xe2\x80\xa6'"
"b""Discourse analysis and'mental health'""",b'https://www.researchgate.net/profile/David_Harper6/publication/232078387_Discourse_analysis_and_%27mental_health%27/links/573a35e808ae9f741b2ca4e9/Discourse-analysis-and-mental-health.pdf',"b'This paper briefly reviews discourse analytic work of clinical relevance (eg. on psychotherapy, professional talk and diagnosis) and illustrates the use of one kind of discourse analysis within a social constructionist theoretical framework and a practical\xc2\xa0\xe2\x80\xa6'"
b'Disengagement from mental health services',b'https://www.academia.edu/download/2257469/Disengagement_From_Mental_Health_Services.pdf',"b'This paper reviews the literature on disengagement from mental health services examining how the terms engagement and disengagement are defined, what proportion of patients disengage from services, and what sociodemographic variables predict disengagement\xc2\xa0\xe2\x80\xa6'"
"b'[HTML][HTML] Prevalence, severity, and unmet need for treatment of mental disorders in the World Health Organization World Mental Health Surveys'",b'https://research.rug.nl/en/publications/prevalence-severity-and-unmet-need-for-treatment-of-mental-disord',"b'Context Little is known about the extent or severity of untreated mental disorders, especially in less-developed countries. Objective To estimate prevalence, severity, and treatment of Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition (DSM-IV) mental \xc2\xa0\xe2\x80\xa6'"
b'E-mental health: a rapid review of the literature',b'https://ps.psychiatryonline.org/doi/full/10.1176/appi.ps.201300009',"b'Objective The authors conducted a review of the literature on e-mental health, including its applications, strengths, limitations, and evidence base. Methods The rapid review approach, an emerging type of knowledge synthesis, was used in response to a request for information\xc2\xa0\xe2\x80\xa6'"
