,titulo,vinculo,resumen,Cluster,Similitud
84,Volunteer motivations at a national Special Olympics event,https://journals.humankinetics.com/view/journals/apaq/28/1/article-p27.xml,Understanding the motivations for people to volunteer with the management and execution of major sporting events is important for the recruitment and retention of the volunteers. This research investigated volunteer motivations at the first National Special Olympics held in …,0,17
85,Modelling the economic impacts of the Sydney Olympics in retrospect–Game over for the bonanza story?,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1759-3441.2011.00109.x,"Do the large economic benefits predicted for Olympics host countries actually materialise? We re‐examine the Sydney 2000 Olympics via historical modelling with a multiregional dynamic computable general equilibrium model, taking care to avoid sources of …",4,33
86,The Sydney Olympics: Striving for legacies–overcoming short-term disappointments and long-term deficiencies,https://www.tandfonline.com/doi/abs/10.1080/09523360802439270,"Using a stakeholder perspective the Sydney 2000 Olympic Games are investigated in terms of their economic, social, environmental, knowledge, sporting and political legacies. From a sporting perspective, elite sport in Australia has profited at the expense of sport for all. The …",5,13
87,[BOOK][B] Host cities and the Olympics: An Interactionist approach,https://www.taylorfrancis.com/books/mono/10.4324/9780203121337/host-cities-olympics-harry-hiller,"Rather than interpreting the Olympics as primarily a sporting event of international or national significance, this book understands the Games as a civic project for the host city that serves as a catalyst for a variety of urban interests over a period of many years from the …",4,29
88,Watched by the Games: Surveillance and Security at the Olympics,https://journals.sagepub.com/doi/abs/10.1177/1012690211433482,"Every four years the Summer Olympic Games fires the imagination of the largest and most diverse sport spectatorship and entices them in their hundreds of thousands to some of the First World's most iconic and crowded cities. In addition, the ideological symbolism …",2,18
89,"[BOOK][B] The London Olympics of 2012: Politics, promises and legacy",https://books.google.com/books?hl=en&lr=&id=_mikCgAAQBAJ&oi=fnd&pg=PP1&dq=Olympics&ots=GUHzfUGsIS&sig=_D3Ljux409Q_36EpYQLzTlVUgaU,"Analysing the politics of the 2012 London Olympics, Stephen Wagg examines the framing of London's bid to host the Games, arguments about the Games' likely impact and the establishment of'Fortress London'to protect the Games. The book asks who won, and who …",1,18
90,"[BOOK][B] The Nazi Olympics: Sport, politics, and appeasement in the 1930s",https://books.google.com/books?hl=en&lr=&id=pXEPBAAAQBAJ&oi=fnd&pg=PP1&dq=Olympics&ots=_kGfY-Ch6D&sig=FU_UW06d4_Yi7Kp8xD42Vgkaixg,The 1936 Olympic Games played a key role in the development of both Hitler's Third Reich and international sporting competition. This volume gathers original essays by modern scholars from the Games' most prominent participating countries and lays out the issues …,5,24
91,[BOOK][B] Circus maximus: The economic gamble behind hosting the Olympics and the World Cup,https://books.google.com/books?hl=en&lr=&id=Y3HnDwAAQBAJ&oi=fnd&pg=PP1&dq=Olympics&ots=v9973orPcz&sig=XP3MMZ_j1TqkgtajnXzcDfvht1s,"Beyond the headlines of the world's most beloved sporting events Brazil hosted the 2016 men's World Cup at a cost of $15 billion to $20 billion, building large, new stadiums in cities that have little use for them anymore. The projected cost of Tokyo's 2020 Summer Olympic …",2,27
92,Special Olympics: An evaluation by professionals and parents,https://search.proquest.com/openview/063ff7645d9eb463864975224c5bc761/1?pq-origsite=gscholar&cbl=1976608,Attitudes toward Special Olympics were examined in a group of 4l experts in the field of mental retardation and 40 parents of participants in the Special Olympics program. Experts completed a l5-item questionnaire that included Likert-type items regarding possible Special …,4,18
93,"Modernity, space and national representation at the Tokyo Olympics 1964",https://www.cambridge.org/core/journals/urban-history/article/modernity-space-and-national-representation-at-the-tokyo-olympics-1964/786B2D8E20744FCF5A804C8A1ECFCD30,"The 1964 Tokyo Olympics acted as a rite of passage for post-war Japan, symbolizing the modernization of the city and the country. This was reflected by the space and architecture of the venues. Urban development of Olympic cities has been scrutinized recently but the …",2,26
94,[HTML][HTML] The Olympics and harm reduction?,https://link.springer.com/article/10.1186/1477-7517-9-33,"The current anti-doping policy ('war on doping') resembles the 'war on drugs' in several aspects, including a zero-tolerance approach, ideology encroaching on human rights and public health principles, high cost using public money for repression and control, and …",2,18
95,Regression to the tail: Why the Olympics blow up,https://journals.sagepub.com/doi/pdf/10.1177/0308518X20958724,"The Olympic Games are the largest, highest-profile, and most expensive megaevent hosted by cities and nations. Average sports-related costs of hosting are $12.0 billion. Non-sports-related costs are typically several times that. Every Olympics since 1960 has run over …",2,13
96,The culture wars of the Montreal Olympics,https://journals.sagepub.com/doi/abs/10.1177/101269029202700205,"The Montreal Olympics are often remembered for their extravagant mismanagement and unfulfilled expectations, usually attributed to the city's flamboyant Mayor Drapeau. But this paper argues that the difficulties of the Montreal organizers must be understood in the …",4,26
97,Mega-events and impacts on tourism; the predictions and realities of the Lillehammer Olympics,https://www.tandfonline.com/doi/pdf/10.3152/147154699781767738,"After hosting the 1994 Winter Olympics, the Norwegian national and local authorities expected a 'big boom'in tourism; the actual effects have been less than, and different from, the predictions, and 40% of the full-service hotels in Lillehammer have gone bankrupt. This …",0,17
